fold,ticker,common_score,common_label,selection_reason,selected,rank,agent,agent_score,agent_label,has_explainer,explanation_text,favor_factors,contra_factors,top_drivers_json
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,fundamental,0.3678,Underperform,False,AMZN — Score: 0.37 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,valuation,0.429,Underperform,False,AMZN — Score: 0.43 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,momentum,0.4476,Underperform,False,AMZN — Score: 0.45 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,bear,0.4686,Underperform,False,AMZN — Score: 0.47 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,sector_rotation,0.6385,Outperform,False,AMZN — Score: 0.64 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,AMZN,0.7504,Outperform,selected_above_threshold,True,13,meta_learner,0.7504,Outperform,False,AMZN — Score: 0.75 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.12),"Margen neto positivo=0.118, Beat rate consistente=0.750",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.117545642763034, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}]"
2026Q1,GLW,0.7485,Outperform,selected_above_threshold,True,15,fundamental,0.4305,Underperform,False,GLW — Score: 0.43 (Underperform) (Rule-based explanation — install shap for full analysis) - RSI overbought (rsi_14=76.57),"Sorpresa de EPS positiva=1.053, Beat rate consistente=0.750, Balance neto insider positivo=0.443",RSI sobrecomprado=76.566,"[{""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 76.56646274330106, ""direction"": ""negative""}, {""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 1.0526, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.4429318736779258, ""direction"": ""positive""}]"
2026Q1,GLW,0.7485,Outperform,selected_above_threshold,True,15,valuation,0.4508,Underperform,False,GLW — Score: 0.45 (Underperform) (Rule-based explanation — install shap for full analysis) - RSI overbought (rsi_14=76.57),"Sorpresa de EPS positiva=1.053, Beat rate consistente=0.750, Balance neto insider positivo=0.443",RSI sobrecomprado=76.566,"[{""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 76.56646274330106, ""direction"": ""negative""}, {""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 1.0526, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.4429318736779258, ""direction"": ""positive""}]"
2026Q1,GLW,0.7485,Outperform,selected_above_threshold,True,15,momentum,0.5942,Outperform,False,GLW — Score: 0.59 (Outperform) (Rule-based explanation — install shap for full analysis) - RSI overbought (rsi_14=76.57),"Sorpresa de EPS positiva=1.053, Beat rate consistente=0.750, Balance neto insider positivo=0.443",RSI sobrecomprado=76.566,"[{""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 76.56646274330106, ""direction"": ""negative""}, {""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 1.0526, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.4429318736779258, ""direction"": ""positive""}]"
2026Q1,GLW,0.7485,Outperform,selected_above_threshold,True,15,bear,0.4801,Underperform,False,GLW — Score: 0.48 (Underperform) (Rule-based explanation — install shap for full analysis) - RSI overbought (rsi_14=76.57),"Sorpresa de EPS positiva=1.053, Beat rate consistente=0.750, Balance neto insider positivo=0.443",RSI sobrecomprado=76.566,"[{""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 76.56646274330106, ""direction"": ""negative""}, {""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 1.0526, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 0.75, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.4429318736779258, ""direction"": ""positive""}]"
