year_quarter,fold,ticker,sector,industry,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,final_score,prediction,confidence,selected,rank,selection_reason,portfolio_weight,actual_return,alpha_real,beat_benchmark
2025Q4,2025Q4,FDS,Financials,Financial Services,0.528,0.413,0.713,0.491,0.423,0.741,Outperform,Moderate,False,45,qualified_but_not_selected,,,,
2025Q4,2025Q4,SWKS,Technology,Semiconductors,0.361,0.455,0.598,0.577,0.53,0.739,Outperform,Moderate,False,46,qualified_but_not_selected,,,,
2025Q4,2025Q4,ZBH,Health Care,Health Care,0.619,0.547,0.438,0.396,0.494,0.737,Outperform,Moderate,False,47,qualified_but_not_selected,,,,
2025Q4,2025Q4,REGN,Technology,Biotechnology,0.644,0.361,0.604,0.54,0.516,0.732,Outperform,Moderate,False,48,qualified_but_not_selected,,,,
2025Q4,2025Q4,BIIB,Technology,Biotechnology,0.615,0.682,0.532,0.464,0.507,0.732,Outperform,Moderate,False,49,qualified_but_not_selected,,,,
2025Q4,2025Q4,FISV,Financials,Financial Services,0.491,0.553,0.4,0.539,0.433,0.729,Outperform,Moderate,False,51,qualified_but_not_selected,,,,
2025Q4,2025Q4,CPB,Consumer Staples,Food Products,0.536,0.401,0.578,0.52,0.513,0.729,Outperform,Moderate,False,52,qualified_but_not_selected,,,,
2025Q4,2025Q4,CDW,Electrical Equipment,Electrical Equipment,0.602,0.575,0.622,0.369,0.454,0.725,Outperform,Moderate,False,53,qualified_but_not_selected,,,,
2025Q4,2025Q4,NXPI,Technology,Semiconductors,0.548,0.536,0.502,0.429,0.492,0.723,Outperform,Moderate,False,54,qualified_but_not_selected,,,,
2025Q4,2025Q4,GDDY,Technology,Technology,0.574,0.643,0.595,0.486,0.509,0.722,Outperform,Moderate,False,55,qualified_but_not_selected,,,,
2025Q4,2025Q4,BBY,Consumer Discretionary,Retail,0.618,0.495,0.429,0.572,0.497,0.721,Outperform,Moderate,False,56,qualified_but_not_selected,,,,
2025Q4,2025Q4,GIS,Consumer Staples,Food Products,0.545,0.394,0.442,0.537,0.476,0.717,Outperform,Moderate,False,57,qualified_but_not_selected,,,,
2025Q4,2025Q4,OXY,Energy,Energy,0.544,0.38,0.466,0.594,0.543,0.716,Outperform,Moderate,False,58,qualified_but_not_selected,,,,
2025Q4,2025Q4,GPN,Financials,Financial Services,0.533,0.458,0.637,0.449,0.421,0.715,Outperform,Moderate,False,59,qualified_but_not_selected,,,,
2025Q4,2025Q4,CLX,Consumer products,Consumer products,0.624,0.561,0.534,0.514,0.547,0.713,Outperform,Moderate,False,60,qualified_but_not_selected,,,,
2025Q4,2025Q4,TPL,Energy,Energy,0.489,0.272,0.799,0.408,0.407,0.708,Outperform,Moderate,False,62,qualified_but_not_selected,,,,
2025Q4,2025Q4,DD,Materials,Chemicals,0.708,0.579,0.456,0.465,0.511,0.703,Outperform,Moderate,False,63,qualified_but_not_selected,,,,
2025Q4,2025Q4,CHRW,Industrials,Logistics & Transportation,0.594,0.437,0.444,0.543,0.446,0.699,Outperform,Moderate,False,64,qualified_but_not_selected,,,,
2025Q4,2025Q4,ROL,Commercial Services & Supplies,Commercial Services & Supplies,0.54,0.516,0.376,0.572,0.463,0.698,Outperform,Moderate,False,65,qualified_but_not_selected,,,,
2025Q4,2025Q4,JBHT,Road & Rail,Road & Rail,0.622,0.57,0.462,0.537,0.534,0.697,Outperform,Moderate,False,66,qualified_but_not_selected,,,,
2025Q4,2025Q4,WAT,Life Sciences Tools & Services,Life Sciences Tools & Services,0.547,0.26,0.495,0.549,0.493,0.697,Outperform,Moderate,False,67,qualified_but_not_selected,,,,
2025Q4,2025Q4,UNH,Health Care,Health Care,0.494,0.507,0.325,0.532,0.48,0.696,Outperform,Moderate,False,68,qualified_but_not_selected,,,,
2025Q4,2025Q4,WSM,Consumer Discretionary,Retail,0.572,0.481,0.43,0.471,0.486,0.69,Outperform,Moderate,False,69,qualified_but_not_selected,,,,
2025Q4,2025Q4,MRK,Healthcare,Pharmaceuticals,0.532,0.411,0.607,0.526,0.499,0.687,Outperform,Moderate,False,70,qualified_but_not_selected,,,,
2025Q4,2025Q4,DELL,Technology,Technology,0.715,0.446,0.456,0.462,0.51,0.687,Outperform,Moderate,False,71,qualified_but_not_selected,,,,
2025Q4,2025Q4,NKE,"Textiles, Apparel & Luxury Goods","Textiles, Apparel & Luxury Goods",0.638,0.61,0.39,0.615,0.567,0.684,Outperform,Moderate,False,72,qualified_but_not_selected,,,,
2025Q4,2025Q4,MAS,Building,Building,0.684,0.413,0.612,0.464,0.474,0.682,Outperform,Moderate,False,73,qualified_but_not_selected,,,,
2025Q4,2025Q4,IEX,Machinery,Machinery,0.561,0.605,0.427,0.562,0.491,0.681,Outperform,Moderate,False,74,qualified_but_not_selected,,,,
2025Q4,2025Q4,XYL,Machinery,Machinery,0.644,0.419,0.485,0.561,0.502,0.677,Outperform,Moderate,False,75,qualified_but_not_selected,,,,
2025Q4,2025Q4,AES,Utilities,Utilities,0.574,0.604,0.461,0.443,0.495,0.676,Outperform,Moderate,False,77,qualified_but_not_selected,,,,
2025Q4,2025Q4,DHR,Life Sciences Tools & Services,Life Sciences Tools & Services,0.566,0.536,0.513,0.502,0.497,0.676,Outperform,Moderate,False,76,qualified_but_not_selected,,,,
2025Q4,2025Q4,CHTR,Communication Services,Media,0.555,0.605,0.668,0.428,0.425,0.675,Outperform,Moderate,False,78,qualified_but_not_selected,,,,
2025Q4,2025Q4,DLTR,Consumer Discretionary,Retail,0.545,0.385,0.378,0.514,0.546,0.675,Outperform,Moderate,False,79,qualified_but_not_selected,,,,
2025Q4,2025Q4,NCLH,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.634,0.413,0.536,0.507,0.452,0.673,Outperform,Moderate,False,80,qualified_but_not_selected,,,,
2025Q4,2025Q4,ARE,Real Estate,Real Estate,0.644,0.391,0.478,0.383,0.431,0.672,Outperform,Moderate,False,81,qualified_but_not_selected,,,,
2025Q4,2025Q4,SLB,Energy,Energy,0.587,0.638,0.464,0.485,0.467,0.668,Outperform,Moderate,False,82,qualified_but_not_selected,,,,
2025Q4,2025Q4,EL,Consumer products,Consumer products,0.672,0.609,0.426,0.488,0.472,0.668,Outperform,Moderate,False,83,qualified_but_not_selected,,,,
2025Q4,2025Q4,ADBE,Technology,Technology,0.599,0.499,0.536,0.423,0.5,0.665,Outperform,Moderate,False,84,qualified_but_not_selected,,,,
2025Q4,2025Q4,KMB,Consumer products,Consumer products,0.495,0.429,0.582,0.368,0.46,0.665,Outperform,Moderate,False,85,qualified_but_not_selected,,,,
2025Q4,2025Q4,DPZ,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.557,0.439,0.594,0.405,0.459,0.665,Outperform,Moderate,False,86,qualified_but_not_selected,,,,
2025Q4,2025Q4,DIS,Communication Services,Media,0.553,0.413,0.425,0.54,0.476,0.663,Outperform,Moderate,False,87,qualified_but_not_selected,,,,
2025Q4,2025Q4,CPRT,Commercial Services & Supplies,Commercial Services & Supplies,0.619,0.419,0.602,0.404,0.48,0.661,Outperform,Moderate,False,88,qualified_but_not_selected,,,,
2025Q4,2025Q4,ERIE,Financials,Insurance,0.535,0.362,0.562,0.411,0.407,0.656,Outperform,Moderate,False,89,qualified_but_not_selected,,,,
2025Q4,2025Q4,PNR,Machinery,Machinery,0.602,0.512,0.445,0.543,0.523,0.655,Outperform,Moderate,False,90,qualified_but_not_selected,,,,
2025Q4,2025Q4,COP,Energy,Energy,0.605,0.436,0.48,0.467,0.486,0.651,Outperform,Moderate,False,91,qualified_but_not_selected,,,,
2025Q4,2025Q4,HBAN,Banking,Banking,0.635,0.654,0.421,0.535,0.447,0.65,Outperform,Moderate,False,92,qualified_but_not_selected,,,,
2025Q4,2025Q4,AMAT,Technology,Semiconductors,0.512,0.474,0.48,0.429,0.515,0.647,Outperform,Moderate,False,93,qualified_but_not_selected,,,,
2025Q4,2025Q4,DECK,"Textiles, Apparel & Luxury Goods","Textiles, Apparel & Luxury Goods",0.564,0.589,0.651,0.544,0.479,0.645,Outperform,Moderate,False,94,qualified_but_not_selected,,,,
2025Q4,2025Q4,VTRS,Healthcare,Pharmaceuticals,0.645,0.769,0.424,0.505,0.483,0.644,Outperform,Moderate,False,95,qualified_but_not_selected,,,,
2025Q4,2025Q4,FIS,Financials,Financial Services,0.64,0.503,0.488,0.433,0.451,0.642,Outperform,Moderate,False,96,qualified_but_not_selected,,,,
2025Q4,2025Q4,CSGP,Real Estate,Real Estate,0.642,0.423,0.453,0.543,0.43,0.641,Outperform,Moderate,False,97,qualified_but_not_selected,,,,
2025Q4,2025Q4,C,Banking,Banking,0.521,0.713,0.407,0.654,0.541,0.64,Outperform,Moderate,False,98,qualified_but_not_selected,,,,
2025Q4,2025Q4,KEY,Banking,Banking,0.635,0.584,0.421,0.551,0.415,0.639,Outperform,Moderate,False,99,qualified_but_not_selected,,,,
2025Q4,2025Q4,OMC,Communication Services,Media,0.54,0.597,0.418,0.533,0.456,0.638,Outperform,Moderate,False,100,qualified_but_not_selected,,,,
2025Q4,2025Q4,BMY,Healthcare,Pharmaceuticals,0.551,0.207,0.527,0.525,0.529,0.636,Outperform,Moderate,False,101,qualified_but_not_selected,,,,
2025Q4,2025Q4,SBUX,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.458,0.445,0.443,0.463,0.423,0.635,Outperform,Moderate,False,102,qualified_but_not_selected,,,,
2025Q4,2025Q4,CVX,Energy,Energy,0.643,0.507,0.44,0.454,0.472,0.633,Outperform,Moderate,False,103,qualified_but_not_selected,,,,
2025Q4,2025Q4,ALL,Financials,Insurance,0.629,0.587,0.572,0.513,0.465,0.632,Outperform,Moderate,False,104,qualified_but_not_selected,,,,
2025Q4,2025Q4,SMCI,Technology,Technology,0.684,0.494,0.642,0.543,0.483,0.632,Outperform,Moderate,False,105,qualified_but_not_selected,,,,
2025Q4,2025Q4,TFC,Banking,Banking,0.637,0.565,0.396,0.559,0.455,0.63,Outperform,Moderate,False,106,qualified_but_not_selected,,,,
2025Q4,2025Q4,EMR,Electrical Equipment,Electrical Equipment,0.617,0.432,0.399,0.606,0.479,0.63,Outperform,Moderate,False,107,qualified_but_not_selected,,,,
2025Q4,2025Q4,PFG,Financials,Insurance,0.646,0.44,0.462,0.587,0.47,0.629,Outperform,Moderate,False,108,qualified_but_not_selected,,,,
2025Q4,2025Q4,PCG,Utilities,Utilities,0.54,0.534,0.503,0.509,0.475,0.627,Outperform,Moderate,False,109,qualified_but_not_selected,,,,
2025Q4,2025Q4,FTV,Machinery,Machinery,0.529,0.488,0.561,0.48,0.464,0.627,Outperform,Moderate,False,110,qualified_but_not_selected,,,,
2025Q4,2025Q4,BALL,Packaging,Packaging,0.687,0.562,0.44,0.483,0.489,0.625,Outperform,Moderate,False,111,qualified_but_not_selected,,,,
2025Q4,2025Q4,AIG,Financials,Insurance,0.65,0.509,0.436,0.53,0.5,0.625,Outperform,Moderate,False,112,qualified_but_not_selected,,,,
2025Q4,2025Q4,RF,Banking,Banking,0.635,0.542,0.366,0.613,0.452,0.624,Outperform,Moderate,False,113,qualified_but_not_selected,,,,
2025Q4,2025Q4,WDAY,Technology,Technology,0.668,0.616,0.552,0.434,0.456,0.623,Outperform,Moderate,False,114,qualified_but_not_selected,,,,
2025Q4,2025Q4,APTV,Auto Components,Auto Components,0.743,0.413,0.421,0.507,0.501,0.622,Outperform,Moderate,False,115,qualified_but_not_selected,,,,
2025Q4,2025Q4,EBAY,Consumer Discretionary,Retail,0.522,0.59,0.406,0.392,0.456,0.622,Outperform,Moderate,False,116,qualified_but_not_selected,,,,
2025Q4,2025Q4,ADM,Consumer Staples,Food Products,0.678,0.664,0.385,0.447,0.492,0.622,Outperform,Moderate,False,117,qualified_but_not_selected,,,,
2025Q4,2025Q4,HPE,Technology,Technology,0.691,0.311,0.394,0.445,0.465,0.621,Outperform,Moderate,False,118,qualified_but_not_selected,,,,
2025Q4,2025Q4,CRM,Technology,Technology,0.521,0.589,0.702,0.528,0.469,0.621,Outperform,Moderate,False,119,qualified_but_not_selected,,,,
2025Q4,2025Q4,DOV,Machinery,Machinery,0.659,0.534,0.531,0.41,0.474,0.62,Outperform,Moderate,False,120,qualified_but_not_selected,,,,
2025Q4,2025Q4,XOM,Energy,Energy,0.574,0.387,0.321,0.522,0.496,0.619,Outperform,Moderate,False,121,qualified_but_not_selected,,,,
2025Q4,2025Q4,VRSK,Professional Services,Professional Services,0.466,0.474,0.654,0.343,0.462,0.617,Outperform,Moderate,False,122,qualified_but_not_selected,,,,
2025Q4,2025Q4,LDOS,Professional Services,Professional Services,0.648,0.405,0.407,0.493,0.519,0.613,Outperform,Moderate,False,123,qualified_but_not_selected,,,,
2025Q4,2025Q4,AXON,Industrials,Aerospace & Defense,0.584,0.419,0.673,0.486,0.498,0.613,Outperform,Moderate,False,124,qualified_but_not_selected,,,,
2025Q4,2025Q4,APD,Materials,Chemicals,0.452,0.385,0.396,0.549,0.439,0.611,Outperform,Moderate,False,125,qualified_but_not_selected,,,,
2025Q4,2025Q4,POOL,Distributors,Distributors,0.571,0.549,0.606,0.459,0.483,0.61,Outperform,Moderate,False,126,qualified_but_not_selected,,,,
2025Q4,2025Q4,NWSA,Communication Services,Media,0.629,0.437,0.444,0.438,0.445,0.608,Outperform,Moderate,False,127,qualified_but_not_selected,,,,
2025Q4,2025Q4,WY,Real Estate,Real Estate,0.565,0.402,0.63,0.483,0.496,0.605,Outperform,Moderate,False,128,qualified_but_not_selected,,,,
2025Q4,2025Q4,INVH,Real Estate,Real Estate,0.639,0.488,0.517,0.431,0.453,0.604,Outperform,Moderate,False,129,qualified_but_not_selected,,,,
2025Q4,2025Q4,DE,Machinery,Machinery,0.542,0.577,0.455,0.438,0.514,0.604,Outperform,Moderate,False,130,qualified_but_not_selected,,,,
2025Q4,2025Q4,MOS,Materials,Chemicals,0.48,0.605,0.697,0.601,0.414,0.603,Outperform,Moderate,False,131,qualified_but_not_selected,,,,
2025Q4,2025Q4,DG,Consumer Discretionary,Retail,0.67,0.413,0.371,0.551,0.513,0.601,Outperform,Moderate,False,132,qualified_but_not_selected,,,,
2025Q4,2025Q4,TRMB,Technology,Technology,0.622,0.506,0.413,0.542,0.499,0.601,Outperform,Moderate,False,133,qualified_but_not_selected,,,,
2025Q4,2025Q4,ACGL,Financials,Insurance,0.596,0.49,0.574,0.466,0.519,0.6,Outperform,Moderate,False,134,qualified_but_not_selected,,,,
2025Q4,2025Q4,PTC,Technology,Technology,0.529,0.618,0.465,0.504,0.499,0.6,Outperform,Moderate,False,135,qualified_but_not_selected,,,,
2025Q4,2025Q4,MET,Financials,Insurance,0.644,0.415,0.418,0.626,0.439,0.598,Outperform,Moderate,False,136,qualified_but_not_selected,,,,
2025Q4,2025Q4,IR,Machinery,Machinery,0.663,0.459,0.448,0.479,0.421,0.598,Outperform,Moderate,False,137,qualified_but_not_selected,,,,
2025Q4,2025Q4,KHC,Consumer Staples,Food Products,0.581,0.41,0.44,0.458,0.489,0.596,Outperform,Moderate,False,138,qualified_but_not_selected,,,,
2025Q4,2025Q4,ABT,Health Care,Health Care,0.579,0.56,0.405,0.472,0.472,0.595,Outperform,Moderate,False,139,qualified_but_not_selected,,,,
2025Q4,2025Q4,BRO,Financials,Insurance,0.552,0.439,0.593,0.453,0.494,0.595,Outperform,Moderate,False,140,qualified_but_not_selected,,,,
2025Q4,2025Q4,TXN,Technology,Semiconductors,0.437,0.411,0.502,0.476,0.458,0.595,Outperform,Moderate,False,141,qualified_but_not_selected,,,,
2025Q4,2025Q4,CTAS,Commercial Services & Supplies,Commercial Services & Supplies,0.549,0.411,0.468,0.558,0.464,0.593,Outperform,Moderate,False,142,qualified_but_not_selected,,,,
2025Q4,2025Q4,WM,Commercial Services & Supplies,Commercial Services & Supplies,0.566,0.466,0.379,0.588,0.472,0.591,Outperform,Moderate,False,143,qualified_but_not_selected,,,,
2025Q4,2025Q4,ACN,Technology,Technology,0.563,0.461,0.525,0.455,0.53,0.59,Outperform,Moderate,False,144,qualified_but_not_selected,,,,
2025Q4,2025Q4,BRK-B,Financials,Financial Services,0.613,0.419,0.577,0.563,0.418,0.589,Outperform,Moderate,False,145,qualified_but_not_selected,,,,
2025Q4,2025Q4,PSX,Energy,Energy,0.654,0.499,0.421,0.533,0.464,0.587,Outperform,Moderate,False,146,qualified_but_not_selected,,,,
2025Q4,2025Q4,BEN,Financials,Financial Services,0.654,0.389,0.384,0.629,0.508,0.586,Outperform,Moderate,False,147,qualified_but_not_selected,,,,
2025Q4,2025Q4,AMT,Real Estate,Real Estate,0.46,0.573,0.402,0.536,0.437,0.583,Outperform,Moderate,False,148,qualified_but_not_selected,,,,
2025Q4,2025Q4,MCO,Financials,Financial Services,0.433,0.487,0.385,0.535,0.48,0.583,Outperform,Moderate,False,149,qualified_but_not_selected,,,,
2025Q4,2025Q4,MKC,Consumer Staples,Food Products,0.555,0.515,0.444,0.426,0.458,0.582,Outperform,Moderate,False,150,qualified_but_not_selected,,,,
2025Q4,2025Q4,BLDR,Building,Building,0.653,0.504,0.644,0.471,0.556,0.582,Outperform,Moderate,False,151,qualified_but_not_selected,,,,
2025Q4,2025Q4,EQR,Real Estate,Real Estate,0.614,0.442,0.586,0.52,0.446,0.58,Outperform,Moderate,False,152,qualified_but_not_selected,,,,
2025Q4,2025Q4,FDX,Industrials,Logistics & Transportation,0.673,0.415,0.512,0.508,0.499,0.58,Outperform,Moderate,False,153,qualified_but_not_selected,,,,
2025Q4,2025Q4,PPG,Materials,Chemicals,0.604,0.379,0.434,0.453,0.456,0.577,Outperform,Moderate,False,154,qualified_but_not_selected,,,,
2025Q4,2025Q4,AVY,Packaging,Packaging,0.627,0.636,0.439,0.471,0.453,0.577,Outperform,Moderate,False,155,qualified_but_not_selected,,,,
2025Q4,2025Q4,GRMN,Consumer products,Consumer products,0.485,0.559,0.554,0.424,0.429,0.575,Outperform,Moderate,False,156,qualified_but_not_selected,,,,
2025Q4,2025Q4,TGT,Consumer Discretionary,Retail,0.616,0.608,0.451,0.46,0.463,0.575,Outperform,Moderate,False,157,qualified_but_not_selected,,,,
2025Q4,2025Q4,AMCR,Packaging,Packaging,0.709,0.337,0.526,0.461,0.465,0.575,Outperform,Moderate,False,158,qualified_but_not_selected,,,,
2025Q4,2025Q4,ADSK,Technology,Technology,0.676,0.463,0.44,0.561,0.502,0.573,Outperform,Moderate,False,159,qualified_but_not_selected,,,,
2025Q4,2025Q4,AIZ,Financials,Insurance,0.596,0.603,0.547,0.444,0.515,0.573,Outperform,Moderate,False,160,qualified_but_not_selected,,,,
2025Q4,2025Q4,SNA,Machinery,Machinery,0.629,0.396,0.444,0.493,0.472,0.57,Outperform,Moderate,False,161,qualified_but_not_selected,,,,
2025Q4,2025Q4,AWK,Utilities,Utilities,0.618,0.491,0.403,0.549,0.448,0.569,Outperform,Moderate,False,163,qualified_but_not_selected,,,,
2025Q4,2025Q4,TSCO,Consumer Discretionary,Retail,0.57,0.59,0.357,0.574,0.416,0.569,Outperform,Moderate,False,162,qualified_but_not_selected,,,,
2025Q4,2025Q4,BR,Professional Services,Professional Services,0.578,0.566,0.43,0.497,0.534,0.568,Outperform,Moderate,False,164,qualified_but_not_selected,,,,
2025Q4,2025Q4,PRU,Financials,Insurance,0.593,0.437,0.501,0.552,0.496,0.568,Outperform,Moderate,False,165,qualified_but_not_selected,,,,
2025Q4,2025Q4,CTSH,Technology,Technology,0.554,0.549,0.514,0.477,0.52,0.565,Outperform,Moderate,False,166,qualified_but_not_selected,,,,
2025Q4,2025Q4,ADP,Professional Services,Professional Services,0.61,0.366,0.51,0.425,0.464,0.563,Outperform,Moderate,False,167,qualified_but_not_selected,,,,
