fold,ticker,common_score,common_label,selection_reason,selected,rank,agent,agent_score,agent_label,has_explainer,explanation_text,favor_factors,contra_factors,top_drivers_json
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,fundamental,0.585,Outperform,False,ALGN — Score: 0.59 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,valuation,0.5859,Outperform,False,ALGN — Score: 0.59 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,momentum,0.6277,Outperform,False,ALGN — Score: 0.63 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,bear,0.6208,Outperform,False,ALGN — Score: 0.62 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,sentiment,0.4759,Underperform,False,ALGN — Score: 0.48 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,sector_rotation,0.6552,Outperform,False,ALGN — Score: 0.66 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALGN,0.8689,Outperform,selected_above_threshold,True,3,meta_learner,0.8689,Outperform,False,ALGN — Score: 0.87 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.11),"Margen neto positivo=0.109, MSPR positivo=81.060, Balance neto insider positivo=0.542",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1093722934702876, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 81.06020466666666, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.5418688671783142, ""direction"": ""positive""}]"
2025Q3,ALB,0.8143,Outperform,selected_above_threshold,True,18,fundamental,0.5138,Outperform,False,ALB — Score: 0.51 (Outperform) (Rule-based explanation — install shap for full analysis),"Sorpresa de EPS positiva=113.205, Beat rate consistente=1.000, MSPR positivo=89.776, Balance neto insider positivo=0.963",,"[{""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 113.2053, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 1.0, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.77574666666665, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.9626593806921676, ""direction"": ""positive""}]"
2025Q3,ALB,0.8143,Outperform,selected_above_threshold,True,18,valuation,0.6569,Outperform,False,ALB — Score: 0.66 (Outperform) (Rule-based explanation — install shap for full analysis),"Sorpresa de EPS positiva=113.205, Beat rate consistente=1.000, MSPR positivo=89.776, Balance neto insider positivo=0.963",,"[{""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 113.2053, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 1.0, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.77574666666665, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.9626593806921676, ""direction"": ""positive""}]"
2025Q3,ALB,0.8143,Outperform,selected_above_threshold,True,18,momentum,0.4946,Underperform,False,ALB — Score: 0.49 (Underperform) (Rule-based explanation — install shap for full analysis),"Sorpresa de EPS positiva=113.205, Beat rate consistente=1.000, MSPR positivo=89.776, Balance neto insider positivo=0.963",,"[{""feature"": ""eps_surprise_pct"", ""description"": ""Sorpresa de EPS positiva"", ""shap_value"": 0.0, ""raw_value"": 113.2053, ""direction"": ""positive""}, {""feature"": ""beat_rate_4q"", ""description"": ""Beat rate consistente"", ""shap_value"": 0.0, ""raw_value"": 1.0, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.77574666666665, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.9626593806921676, ""direction"": ""positive""}]"
