ticker,fold_id,entry_date,sector,score,confidence,ev,tp_pct,sl_pct,entry_price,tp_price,sl_price,selected,outcome,days_to_outcome,bear_score,fundamental_score,hit_rate_bear_score,hit_rate_fundamental_score,hit_rate_momentum_score,hit_rate_sentiment_score,hit_rate_valuation_score,momentum_score,sentiment_score,valuation_score,weight_bear_score,weight_fundamental_score,weight_momentum_score,weight_sentiment_score,weight_valuation_score
AAPL,2024Q1,2024-01-02,Tech,0.5992113644321198,0.5736056822160599,0.031951685408092914,0.08992113644321198,0.04603154542271521,99.41723566587403,108.35694647899206,94.84090666651956,False,NONE,90,0.4618207359286113,0.7184808436607272,0.48,0.62,0.55,0.51,0.58,0.6757720035159638,0.7458234034825653,0.3941598355727315,0.12,0.28,0.24,0.14,0.22
MSFT,2024Q1,2024-01-02,Tech,0.5047595049816765,0.5263797524908382,0.018770066446330058,0.08047595049816765,0.04980961980073294,100.21542647315944,108.28035817316618,95.22373418236306,False,TP,55,0.3794052178037021,0.5348933568819352,0.48,0.62,0.55,0.51,0.58,0.533465552913287,0.6338917590596762,0.442141638249782,0.12,0.28,0.24,0.14,0.22
NVDA,2024Q1,2024-01-02,Tech,0.5616910867321999,0.5548455433660999,0.026651305579207342,0.08616910867321999,0.04753235653071201,100.26886535160409,108.90894410662692,95.50284989478169,False,TP,51,0.33630121824764875,0.42048676196809737,0.48,0.62,0.55,0.51,0.58,0.6887510172138271,0.6476042288846112,0.7153122073468152,0.12,0.28,0.24,0.14,0.22
AMZN,2024Q1,2024-01-02,Comm,0.5888977555584265,0.5684488777792133,0.030486294096691485,0.08888977555584265,0.04644408977766294,99.45175082770548,108.29199463741581,94.83280478371776,False,NONE,90,0.5321329543947402,0.40826381776426457,0.48,0.62,0.55,0.51,0.58,0.542609398539066,0.7578878513069371,0.703594755787125,0.12,0.28,0.24,0.14,0.22
GOOGL,2024Q1,2024-01-02,Comm,0.6170661947984645,0.5825330973992322,0.03450364643724026,0.09170661947984646,0.04531735220806142,100.43492923512403,109.64547707297484,95.88348417298418,False,TP,73,0.41947845312756904,0.8066351196001362,0.48,0.62,0.55,0.51,0.58,0.5732228303010519,0.5983020152229384,0.6876925557406269,0.12,0.28,0.24,0.14,0.22
META,2024Q1,2024-01-02,Comm,0.7180597666928463,0.6330298833464232,0.04929857642307611,0.10180597666928463,0.04127760933228615,100.11675744060886,110.30924171281193,95.98417703936016,True,NONE,90,0.5687979511825437,0.8563777886388608,0.48,0.62,0.55,0.51,0.58,0.8574563806427317,0.7358279358691536,0.5718387771309417,0.12,0.28,0.24,0.14,0.22
TSLA,2024Q1,2024-01-02,Auto,0.63340005984302,0.5907000299215099,0.03685497144396528,0.093340005984302,0.044663997606279204,99.61969456243811,108.91819744905041,95.1702807629631,True,NONE,90,0.3798061775872853,0.70331788788359,0.48,0.62,0.55,0.51,0.58,0.47947982831402647,0.7257914375355924,0.8786049678946055,0.12,0.28,0.24,0.14,0.22
BRK-B,2024Q1,2024-01-02,Finance,0.767602706359502,0.6578013531797511,0.05678004950921836,0.1067602706359502,0.039295891745619926,99.75627155412585,110.40627810287766,95.83625990618826,True,NONE,90,0.6768452442025991,0.7647482804919992,0.48,0.62,0.55,0.51,0.58,0.7052166724710442,0.8207856652437526,0.870417669388115,0.12,0.28,0.24,0.14,0.22
JPM,2024Q1,2024-01-02,Finance,0.5415874666847478,0.5447937333423739,0.023846079476024646,0.08415874666847478,0.04833650133261009,100.0955579763118,108.51947468267986,95.25728890480144,False,TP,37,0.4460440672979314,0.6718124957327114,0.48,0.62,0.55,0.51,0.58,0.3978887458419593,0.46942103231078924,0.7227709922403474,0.12,0.28,0.24,0.14,0.22
V,2024Q1,2024-01-02,Finance,0.6946095252722267,0.6213047626361135,0.04580870964794306,0.09946095252722267,0.042215618989110935,100.93599989607145,110.97519059002238,96.67492418217395,True,NONE,90,0.3421981118280918,0.8675362118938841,0.48,0.62,0.55,0.51,0.58,0.8246071641624368,0.733476500342813,0.7052296381339082,0.12,0.28,0.24,0.14,0.22
XOM,2024Q1,2024-01-02,Energy,0.7402463455078461,0.6441231727539231,0.05263076057698678,0.10402463455078462,0.04039014617968616,100.43229760942171,110.87973066533745,96.37582242781542,True,TP,41,0.5516432606158836,0.8079267770607661,0.48,0.62,0.55,0.51,0.58,0.7986460352685496,0.8187922893085607,0.72422336528547,0.12,0.28,0.24,0.14,0.22
JNJ,2024Q1,2024-01-02,Health,0.5938681254950706,0.5709340627475353,0.031191703792066185,0.08938681254950706,0.046245274980197176,99.92104738284789,108.85267131500892,95.30017107031878,False,NONE,90,0.6708618212271469,0.40136925008507407,0.48,0.62,0.55,0.51,0.58,0.4864405825059827,0.8362082616675979,0.574460711989552,0.12,0.28,0.24,0.14,0.22
UNH,2024Q1,2024-01-02,Health,0.6056641950777026,0.5768320975388513,0.032871770440044315,0.09056641950777027,0.045773432196891894,100.37805045768124,109.46893108480373,95.78340257100038,False,NONE,90,0.47615086188631356,0.8287021382937847,0.48,0.62,0.55,0.51,0.58,0.8495960115621012,0.42632371113510875,0.4475482525112056,0.12,0.28,0.24,0.14,0.22
PG,2024Q1,2024-01-02,Cons,0.6028244347741254,0.5754122173870627,0.03246655181218022,0.09028244347741254,0.04588702260903499,100.25588937921538,109.30723604537211,95.65544511658241,False,NONE,90,0.6818361974762949,0.4167927876527322,0.48,0.62,0.55,0.51,0.58,0.38338377983896077,0.7913652388055976,0.7407441700970409,0.12,0.28,0.24,0.14,0.22
MA,2024Q1,2024-01-02,Finance,0.6581927603334897,0.6030963801667448,0.0404545687025592,0.09581927603334897,0.04367228958666041,99.56259959674706,109.10261581010556,95.21447291515722,True,NONE,90,0.4999583254750588,0.764827723214972,0.48,0.62,0.55,0.51,0.58,0.5415867245110264,0.841913867228528,0.642677161237863,0.12,0.28,0.24,0.14,0.22
HD,2024Q1,2024-01-02,Cons,0.552059974276632,0.5500299871383161,0.02530437011795419,0.0852059974276632,0.04791760102893472,99.70149395490328,108.19665919235894,94.92403754558349,False,SL,48,0.47009144993963015,0.48782781030127953,0.48,0.62,0.55,0.51,0.58,0.43565929613005827,0.8316003772327143,0.5351209377794779,0.12,0.28,0.24,0.14,0.22
CVX,2024Q1,2024-01-02,Energy,0.6186508971294112,0.5833254485647057,0.034731069466025305,0.09186508971294113,0.045253964114823554,100.15014065596444,109.35044231208829,95.6179497846249,False,NONE,90,0.5480853808061511,0.8315894611749433,0.48,0.62,0.55,0.51,0.58,0.6066934389900935,0.4839685252599741,0.6229176794158946,0.12,0.28,0.24,0.14,0.22
ABBV,2024Q1,2024-01-02,Health,0.7671296706801607,0.6575648353400804,0.05670792009633186,0.10671296706801607,0.039314813172793575,99.76853948147675,110.41513634958764,95.84615799124,True,TP,78,0.6980386020941296,0.6707306101245458,0.48,0.62,0.55,0.51,0.58,0.8039048340637578,0.8382303899438706,0.8247439171745001,0.12,0.28,0.24,0.14,0.22
