ticker,path,business_summary,moat,catalysts,risks,recent_news,thesis,exit_thesis,classification,source
AAPL,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\AAPL.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,"Possible catalyst, but confirmation is required at future reviews.","balance sheet or financial risk, valuation already discounts too much optimism","['Two Weeks Left to Enter The Global Supply Chain Awards', 'Jim Cramer Discusses the Sell-Off in Apple Stock Before SpaceX IPO', ""SpaceX Climbed Nearly 20% in Its First Day of Trading. Here's Where the Stock Price Will Be in 3 Months, According to History.""]","Avoid: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for AAPL: valuation no longer offers a reasonable margin.,Avoid,deterministic_fallback
ABBV,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\ABBV.json,Weak business profile; any investment case must be treated cautiously.,Strong moat: persistent profitability and margin quality support durability.,No clear catalyst detected.,"balance sheet or financial risk, weak growth profile","[""June 2026's Noteworthy Stocks Estimated Below Intrinsic Value"", '3 High-Yield Dividend Stocks to Buy Hand Over Fist in June', 'AbbVie (ABBV) Stock Weighs DCF Upside Against Elevated P/E At US$227.73']",Avoid: Weak business profile; any investment case must be treated cautiously. Strong moat: persistent profitability and margin quality support durability. No clear catalyst detected.,Exit thesis for ABBV: position health has deteriorated; financial risk has increased.,Avoid,deterministic_fallback
ABT,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\ABT.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,No clear catalyst detected.,weak growth profile,"['How Investors May Respond To Abbott (ABT) Dividend And CE Mark For Dual Glucose‑Ketone Sensor', 'Abbott Laboratories\xa0(ABT): One of the Best Bargain Stocks to Buy in June', 'Is Abbott (ABT) the Best Longevity Stock to Buy Now?']",Cyclical Opportunity: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. No clear catalyst detected.,Exit thesis for ABT: the investment thesis is broken; position health has deteriorated.,Cyclical Opportunity,deterministic_fallback
ACN,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\ACN.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,"Valuation gap exists, but catalyst evidence is limited.",weak growth profile,"['Stocks Rise Pre-Bell as US, Iran Reach Peace Deal; Investors Await Fed Policy Decision', 'Preferred Bank And 2 Other Dividend Stocks To Boost Your Portfolio', ""US Equity Investors to Watch Out for Fed Chair Kevin Warsh's Inflation Views, Details of Iran Peace Deal This Week""]","Avoid: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. Valuation gap exists, but catalyst evidence is limited.",Exit thesis for ACN: the investment thesis is broken; position health has deteriorated.,Avoid,deterministic_fallback
ADI,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\ADI.json,Weak business profile; any investment case must be treated cautiously.,Moderate moat: business quality exists but requires continued monitoring.,"Possible catalyst, but confirmation is required at future reviews.",valuation already discounts too much optimism,"['Dividend Champion, Contender, And Challenger Highlights: Week Of June 14', 'New England’s Top Security Executives Named at the 2026 BostonCISO ORBIE Awards', ""Will Record Q2, Empower Deal and AI Infrastructure Demand Shift Analog Devices' (ADI) Narrative?""]","Turnaround: Weak business profile; any investment case must be treated cautiously. Moderate moat: business quality exists but requires continued monitoring. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for ADI: valuation no longer offers a reasonable margin.,Turnaround,deterministic_fallback
AMAT,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\AMAT.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,No clear catalyst detected.,valuation already discounts too much optimism,"['Applied Materials Tampines Campus Expansion Tests AI Growth And Rich Valuation', 'Jim Cramer Calls KLA Corporation “Too Risky”', 'Jim Cramer Says “I’ll Go for AMAT”']",Avoid: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. No clear catalyst detected.,Exit thesis for AMAT: the investment thesis is broken; valuation no longer offers a reasonable margin; market expectations appear too optimistic versus expected fundamentals.,Avoid,deterministic_fallback
AMD,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\AMD.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,"Possible catalyst, but confirmation is required at future reviews.",valuation already discounts too much optimism,"['Stocks Rise Pre-Bell as US, Iran Reach Peace Deal; Investors Await Fed Policy Decision', 'This Week In AI Chips - Aymer AI Powers Up Texas for Next-Gen Infrastructure', 'AT&S invests up to €2 billion in Malaysia plan to capitalise on AI boom']","Avoid: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for AMD: valuation no longer offers a reasonable margin; market expectations appear too optimistic versus expected fundamentals.,Avoid,deterministic_fallback
AMGN,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\AMGN.json,Acceptable business profile that requires valuation and catalyst support.,Strong moat: persistent profitability and margin quality support durability.,"Possible catalyst, but confirmation is required at future reviews.",balance sheet or financial risk,"['Harbour BioMed Secures Landmark Victory in U.S. Patent Infringement Case Against Amgen, Reshaping the Global Antibody Patent Landscape', 'Morgan Stanley Raises Amgen (AMGN) Price Target Following a Strong Start for Uplizna', 'Amgen Faces Dual Turning Point With IMDYLLTRA Gain And Tavneos Risk']","Quality Growth Reasonable: Acceptable business profile that requires valuation and catalyst support. Strong moat: persistent profitability and margin quality support durability. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for AMGN: financial risk has increased.,Quality Growth Reasonable,deterministic_fallback
AMZN,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\AMZN.json,Weak business profile; any investment case must be treated cautiously.,Weak moat: limited evidence of durable competitive advantage.,"Possible catalyst, but confirmation is required at future reviews.",valuation already discounts too much optimism,"['TraceFuse Surpasses 800 Brands Supported and 20,000+ Policy-Violating Amazon Reviews Removed', 'Jeff Bezos Used a ‘Billionaire Bunker’ as a Tax Shelter — 5 Ways You Can Create Your Own', 'Amazon (AMZN) Moves To Unlock An Entire Continent, How Big Is The Target Market?']","Avoid: Weak business profile; any investment case must be treated cautiously. Weak moat: limited evidence of durable competitive advantage. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for AMZN: exit only if opportunity cost becomes materially superior or thesis persistence weakens.,Avoid,deterministic_fallback
ANET,C:\Users\PC\Desktop\Documents\TFM\results\full_2025-01-15_2026-06-15_M\research_ai\ANET.json,High-quality business profile with attractive durability signals.,Moderate moat: business quality exists but requires continued monitoring.,"Possible catalyst, but confirmation is required at future reviews.",valuation already discounts too much optimism,"['Arista Networks (ANET): 1.6T Launch Shows How AI Fabrics Are Expanding Its Data Center Opportunity', 'Cisco Systems (CSCO) – Among the 10 Best S&P 500 Dividend Stocks to Buy Right Now', 'Why Arista Networks (ANET) Is Up 5.8% After Raising 2026 Outlook On Surging AI Networking Demand']","Turnaround: High-quality business profile with attractive durability signals. Moderate moat: business quality exists but requires continued monitoring. Possible catalyst, but confirmation is required at future reviews.",Exit thesis for ANET: valuation no longer offers a reasonable margin.,Turnaround,deterministic_fallback
